"","id","StartDate","EndDate","studytime","bottest_filter","handw","discomfort1_1","discomfort1_2","discomfort1_3","discomfort1_4","discomfort1_5","discomfort1_6","discomfort1_7","discomfort1_8","dginstrux","comp2","fairQ","fairQ_rt_First.Click","fairQ_rt_Last.Click","fairQ_rt_Page.Submit","fairQ_rt_Click.Count","assignrt_First.Click","assignrt_Last.Click","assignrt_Page.Submit","assignrt_Click.Count","forced","preventRT_First.Click","preventRT_Last.Click","preventRT_Page.Submit","preventRT_Click.Count","comp1","r1_rt_First.Click","r1_rt_Last.Click","r1_rt_Page.Submit","r1_rt_Click.Count","dg1","dg1_rt_First.Click","dg1_rt_Last.Click","dg1_rt","dg1_rt_Click.Count","r2_rt_First.Click","r2_rt_Last.Click","r2_rt_Page.Submit","r2_rt_Click.Count","dg2","dg2_rt_First.Click","dg2_rt_Last.Click","dg2_rt","dg2_rt_Click.Count","r3_rt_First.Click","r3_rt_Last.Click","r3_rt_Page.Submit","r3_rt_Click.Count","dg3","dg3_rt_First.Click","dg3_rt_Last.Click","dg3_rt","dg3_rt_Click.Count","r4_rt_First.Click","r4_rt_Last.Click","r4_rt_Page.Submit","r4_rt_Click.Count","dg4","dg4_rt_First.Click","dg4_rt_Last.Click","dg4_rt","dg4_rt_Click.Count","r5_rt_First.Click","r5_rt_Last.Click","r5_rt_Page.Submit","r5_rt_Click.Count","dg5","dg5_rt_First.Click","dg5_rt_Last.Click","dg5_rt","dg5_rt_Click.Count","num1","num2","num3","num4","num5","num6","num7","num8a","num8b","num9","num10","num11","num12","num13","num14","compcheck","Guess","memQrt_First.Click","memQrt_Last.Click","memQrt_Page.Submit","memQrt_Click.Count","conf","discomfort3_1","discomfort3_2","discomfort3_3","discomfort3_4","discomfort3_5","discomfort3_6","discomfort3_7","discomfort3_8","responsible","gender","age","deception1","deception2","feedbackexcl","dgXP","id.1","dg1.1","dg2.1","dg3.1","dg4.1","dg5.1","Numeracy","DGAverage","AveRT","GuessVsAve","GuessVsAveA","DG.stdev","FairVsActual","discomfort_t1","discomfort_t2","diss","posA_t1","posA_t2","posAdiff"
"575",577,"7/12/19 8:12","7/12/19 8:31",19,1,"If you can't be there in person, send a letter.",1,2,2,5,6,3,3,3,"I have carefully read and understand the instructions above.",FALSE,30,86.852,86.852,88.617,1,0,0,2.008,0,"I have carefully read and understand the instructions above.",40.299,40.299,42.232,1,FALSE,0,0,3.007,0,0,7.321,7.321,9.483,1,0,0,3.009,0,0,3.948,3.948,5.989,1,0,0,3.107,0,0,7.054,7.054,8.65,1,0,0,3.109,0,0,4.517,6.66,6.675,3,0,0,3.008,0,0,2.462,2.462,4.208,1,"333","10","0.001","1 in 10","10%","10","1 in 10","10","100","20","5","1 in 12 chance","18","64%","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",0,3.449,12.736,12.736,14,7,1,1,2,6,7,5,2,6,1,"Female",26,1,1,1,1,153,0,0,0,0,0,10,0,7.001,0,0,0,30,1.66666666666667,1.33333333333333,-0.333333333333333,4,5.2,1.2
"576",578,"7/12/19 8:16","7/12/19 8:31",15,1,"If you can't be there in person, send a letter.",3,1,2,5,5,1,1,2,"I have carefully read and understand the instructions above.",FALSE,0,5.539,9.967,11.328,5,0,0,2.116,0,"I have carefully read and understand the instructions above.",2.837,13.266,14.295,4,FALSE,0,0,3.015,0,0,6.565,6.565,8.986,1,0,0,3.118,0,0,2.939,2.939,5.371,1,0,0,3.011,0,0,2.844,2.844,4.639,1,0,0,3.116,0,0,2.366,2.366,3.581,1,0,0,3.116,0,0,2.69,2.69,3.77,1,"500","10","0.1","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","9","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",0,1.175,4.209,5.274,3,7,2,1,2,5,5,1,1,2,1,"Female",37,1,1,1,2,540,0,0,0,0,0,13,0,5.2694,0,0,0,0,2,1.66666666666667,-0.333333333333333,2.8,2.8,0
"579",581,"7/12/19 8:21","7/12/19 8:31",10,1,"If you can't be there in person, send a letter.",4,3,3,5,5,6,3,3,"I have carefully read and understand the instructions above.",TRUE,20,6.512,6.512,10.001,1,0,0,2.005,0,"I have carefully read and understand the instructions above.",6.685,6.685,20.241,1,FALSE,0,0,3.107,0,80,3.092,3.092,4.055,1,0,0,3.111,0,80,1.681,1.681,2.67,1,0,0,3.108,0,80,1.429,2.962,3.837,4,0,0,3.006,0,80,1.675,1.675,2.582,1,0,0,3.006,0,80,1.692,1.692,2.554,1,"500","10","0.1","1 in 10","10%","2","2","12","100","20","5","1 in 12 chance","10","64","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",80,1.942,6.863,7.734,4,7,3,2,3,5,5,5,3,5,1,"Male",22,1,1,1,3,237,80,80,80,80,80,13,80,3.1396,0,0,0,-60,3.33333333333333,2.66666666666667,-0.666666666666667,4.4,4.6,0.199999999999999
"580",582,"7/12/19 8:22","7/12/19 8:31",9,1,"If you can't be there in person, send a letter.",2,2,3,4,6,6,3,3,"I have carefully read and understand the instructions above.",FALSE,50,4.158,4.671,6.271,2,0,0,2.066,0,"I have carefully read and understand the instructions above.",14.668,17.295,18.116,2,FALSE,0,0,3.025,0,30,3.25,3.25,4.769,1,0,0,3.04,0,30,0.771,0.771,2.627,1,0,0,3.031,0,30,1.172,1.172,3.194,1,0,0,3.049,0,30,1.145,1.145,2.11,1,0,0,3.132,0,30,0.881,1.643,2.563,2,"500","10","0.001","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","50","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",30,1.078,4.581,5.384,6,7,1,1,2,6,6,7,6,6,1,"Male",26,1,1,1,1,104,30,30,30,30,30,13,30,3.0526,0,0,0,20,2.33333333333333,1.33333333333333,-1,4.4,6.2,1.8
"581",583,"7/12/19 8:19","7/12/19 8:32",13,1,"If you can't be there in person, send a letter.",2,2,1,7,7,3,4,5,"I have carefully read and understand the instructions above.",FALSE,50,5.41,5.987,7.44,2,0,0,2.008,0,"I have carefully read and understand the instructions above.",28.098,28.098,29.599,1,FALSE,0,0,3.007,0,60,4.016,4.016,7.356,1,0,0,3.008,0,60,3.03,3.03,5.147,1,0,0,3.106,0,60,2.219,2.219,4.632,1,0,0,3.006,0,50,2.468,2.468,4.049,1,0,0,3.107,0,60,2.288,2.288,3.475,1,"500","100","1","1 in 10","10%","5","50","10","100","20","5","1 in 12 chance","75","64","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",58,1.465,3.558,4.899,3,7,1,1,1,7,7,6,5,6,1,"Female",52,1,1,1,2,138,60,60,60,50,60,10,58,4.9318,0,0,4.47213595499958,-8,1.66666666666667,1,-0.666666666666667,5.2,6.2,1
"582",584,"7/12/19 8:16","7/12/19 8:32",16,1,"If you can’t be there in person, send a letter. ",5,6,3,7,7,6,5,5,"I have carefully read and understand the instructions above.",FALSE,50,8.555,8.555,10.627,1,0,0,2.009,0,"I have carefully read and understand the instructions above.",21.644,22.48,23.22,2,FALSE,0,0,3.107,0,20,3.506,4.141,6.148,2,0,0,3.009,0,10,1.617,2.357,3.746,2,0,0,3.109,0,0,2,2,2.994,1,0,0,3.014,0,0,5.315,5.315,6.139,1,0,0,3.11,0,10,3.825,4.579,5.655,2,"500","10","0.1","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","50","64","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",8,7.734,7.734,9.739,1,5,6,5,5,7,5,7,4,4,1,"Male",38,1,1,1,3,515,20,10,0,0,10,14,8,4.9364,0,0,8.36660026534076,42,4.66666666666667,5.33333333333333,0.666666666666666,6,5.4,-0.6
"583",585,"7/12/19 8:16","7/12/19 8:32",16,1,"If you can't be there in person, send a letter.",NA,NA,NA,NA,NA,NA,NA,NA,"I have carefully read and understand the instructions above.",FALSE,0,1.291,12.655,16.333,5,0,0,2.013,0,"I have carefully read and understand the instructions above.",33.252,33.252,34.505,1,FALSE,0,0,1.637,0,50,7.747,7.747,10.88,1,0,0,1.396,0,50,2.898,2.898,5.953,1,0,0,1.564,0,50,2.497,3.677,5.836,2,0,0,1.203,0,100,2.452,2.452,4.828,1,0,0,1.421,0,50,1.697,1.697,3.422,1,"500","100","1","1 in 10","10%","2","20","10","100","20","5","1 in 12 chance","11","100","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",55,4.122,82.137,83.376,4,2,1,1,1,6,6,4,2,4,1,"Male",43,1,1,1,1,563,50,50,50,100,50,10,60,6.1838,-5,5,22.3606797749979,-60,1.33333333333333,1,-0.333333333333333,5,4.4,-0.6
"588",590,"7/12/19 8:21","7/12/19 8:32",11,1,"If you can't be there in person, send a letter. ",1,1,1,6,6,4,4,5,"I have carefully read and understand the instructions above.",TRUE,40,9.229,9.229,13.564,1,0,0,2.008,0,"I have carefully read and understand the instructions above.",20.202,20.202,21.655,1,FALSE,0,0,3.013,0,0,3.965,3.965,9.517,1,0,0,3.208,0,0,2.79,2.79,4.409,1,0,0,3.006,0,0,2.011,2.011,3.479,1,0,0,3.007,0,0,2.428,2.428,4.039,1,0,0,3.006,0,0,2.241,2.241,3.693,1,"500","10","0.0001","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","18","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",0,1.453,4.654,6.292,3,7,1,1,1,6,6,5,4,5,1,"Male",60,1,1,1,2,585,0,0,0,0,0,12,0,5.0274,0,0,0,40,1,1,0,5,5.2,0.2
"589",591,"7/12/19 8:14","7/12/19 8:32",18,1,"If you can't be there in person, send a letter.",1,2,5,6,7,6,3,2,"I have carefully read and understand the instructions above.",FALSE,30,14.629,29.658,30.563,13,0,0,2.012,0,"I have carefully read and understand the instructions above.",20.014,20.014,20.84,1,FALSE,0,0,3.021,0,50,7.186,8.235,9.495,2,0,0,3.034,0,50,2.225,2.937,4.588,2,0,0,3.014,0,60,2.017,2.017,2.836,1,0,0,3.013,0,70,1.539,1.539,2.69,1,0,0,3.017,0,70,1.676,1.676,2.517,1,"500","10","0.01","1 in 10","10%","2%","2%","10","100","20%","5","1 in 12 chance","90%","64%","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",60,1.093,6.029,8.102,8,5,2,2,5,6,7,6,3,2,1,"Female",35,1,1,1,2,261,50,50,60,70,70,14,60,4.4252,0,0,10,-30,2.66666666666667,3,0.333333333333333,4.8,4.8,0
"592",594,"7/12/19 8:02","7/12/19 8:33",31,1,"If you can't be there in person, send a letter.",1,1,1,5,5,4,4,5,"I have carefully read and understand the instructions above.",FALSE,50,6.998,6.998,7.605,1,0,0,2.006,0,"I have carefully read and understand the instructions above.",27.464,27.464,28.952,1,FALSE,0,0,3.008,0,50,5.109,5.109,6.079,1,0,0,3.01,0,50,2.711,3.581,3.889,2,0,0,3.008,0,50,2.027,2.027,2.998,1,0,0,3.007,0,50,1.809,1.809,2.847,1,0,0,3.009,0,50,1.362,1.362,2.447,1,"500","10","0.01%","1 in 10","10%","2%","2%","10","100","20%","5","1 in 12 chance","9%","64%","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall keeping",50,1.064,5.841,6.684,3,7,1,1,1,6,6,6,6,6,7,"Male",43,1,1,1,1,32,50,50,50,50,50,12,50,3.652,0,0,0,0,1,1,0,4.6,6,1.4
"594",596,"7/12/19 8:29","7/12/19 8:33",4,1,"If you can't be there in person, send a letter. ",4,4,3,3,4,4,3,4,"I have carefully read and understand the instructions above.",TRUE,10,1.562,1.562,2.523,1,0,0,2.107,0,"I have carefully read and understand the instructions above.",1.104,1.104,6.242,1,FALSE,0,0,3.006,0,10,1.488,1.488,2.46,1,0,0,3.006,0,10,1.145,6.727,7.812,4,0,0,3.11,0,20,3.406,3.406,4.209,1,0,0,3.107,0,0,2.446,2.446,3.688,1,0,0,3.106,0,0,2.883,2.883,3.967,1,"5","1","10","1 in 10","1%","50","50","10","20","25","50","1 in 12 chance","9","4","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall keeping",32,1.434,1.434,2.259,1,3,3,4,3,4,3,5,3,4,3,"Male",43,1,1,1,3,169,10,10,20,0,0,4,8,4.4272,24,24,8.36660026534076,2,3.66666666666667,3.33333333333333,-0.333333333333333,3.6,3.8,0.2
"595",597,"7/12/19 8:23","7/12/19 8:33",10,1,"If you can't be there in person, send a letter",1,1,1,6,5,7,7,7,"I have carefully read and understand the instructions above.",TRUE,50,5.748,5.748,6.825,1,0,0,2.007,0,"I have carefully read and understand the instructions above.",0.956,0.956,12.264,1,TRUE,0,0,3.007,0,80,5.943,5.943,7.101,1,0,0,3.006,0,90,2.956,2.956,4.209,1,0,0,3.007,0,80,14.328,14.328,15.582,1,0,0,3.008,0,70,2.697,2.697,3.745,1,0,0,3.007,0,80,3.048,6.747,8.049,2,"500","1%","1","1 in 100","1%","4%","200","50","500","2","5","1 in 12 chance","10","12","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",50,6.579,10.319,11.3,4,5,1,1,1,6,6,7,7,7,7,"Female",42,1,1,1,1,679,80,90,80,70,80,3,80,7.7372,-30,30,7.07106781186548,-30,1,1,0,6.4,6.6,0.199999999999999
"597",599,"7/12/19 8:18","7/12/19 8:33",15,1,"If you can't be there in person, send a letter.",5,5,5,5,5,5,4,6,"I have carefully read and understand the instructions above.",FALSE,10,3.973,4.941,5.945,3,0,0,2.006,0,"I have carefully read and understand the instructions above.",1.087,30.3,31.767,6,TRUE,0,0,3.005,0,40,2.874,3.934,5.195,2,0,0,3.008,0,40,2.913,2.913,3.722,1,0,0,3.006,0,30,1.385,1.596,3.027,2,0,0,3.005,0,30,1.055,1.861,2.434,2,0,0,3.106,0,30,0.988,1.378,3.505,2,"500","10","0.1","1 in 10","10%","2%","2%","19","100","20","5","1 in 12 chance","40","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall keeping",35,5.406,9.357,12.86,2,7,5,4,4,5,6,5,4,5,5,"Male",30,1,1,1,1,666,40,40,30,30,30,12,34,3.5766,1,1,5.47722557505166,-24,5,4.33333333333333,-0.666666666666667,5,5,0
"598",600,"7/12/19 8:22","7/12/19 8:33",11,1,"If you can't be there in person, send a letter",1,1,3,4,4,3,1,2,"I have carefully read and understand the instructions above.",FALSE,50,5.902,5.902,7.14,1,0,0,2.113,0,"I have carefully read and understand the instructions above.",16.007,16.007,16.696,1,FALSE,0,0,3.016,0,70,2.901,2.901,4.217,1,0,0,3.013,0,80,1.706,1.706,2.578,1,0,0,3.014,0,80,2.001,2.001,3.015,1,0,0,3.115,0,90,3.501,3.501,4.566,1,0,0,3.01,0,80,1.1,1.1,2.033,1,"500","100","1%","1 in 10","1%","2","2","10","100","20","1","1 in 12 chance","90%","7%","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",75,3.701,10.695,12.089,8,5,1,1,2,4,3,4,1,4,5,"Female",43,1,1,1,1,593,70,80,80,90,80,9,80,3.2818,-5,5,7.07106781186548,-30,1.66666666666667,1.33333333333333,-0.333333333333333,2.8,3.2,0.4
"599",601,"7/12/19 8:11","7/12/19 8:33",22,1,"If you can't be there in person, send a letter.",1,1,4,6,7,7,7,6,"I have carefully read and understand the instructions above.",FALSE,10,28.491,28.491,30.259,1,0,0,2.005,0,"I have carefully read and understand the instructions above.",27.586,37.364,38.518,3,FALSE,0,0,3.006,0,50,6.805,6.805,11.369,1,0,0,3.006,0,10,4.659,4.659,6.114,1,0,0,3.007,0,0,3.103,3.103,7.919,1,0,0,3.007,0,0,2.855,2.855,5.845,1,0,0,3.006,0,0,2.579,2.579,4.979,1,"500","10","0.1","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","50","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",12,33.307,36.091,44.17,2,7,2,1,1,6,7,7,6,6,1,"Male",37,1,1,1,1,110,50,10,0,0,0,13,12,7.2452,0,0,21.6794833886788,-2,2,1.33333333333333,-0.666666666666667,6.6,6.4,-0.199999999999999
"601",603,"7/12/19 8:24","7/12/19 8:34",10,1,"If you can't be there in person, send a letter. ",3,3,3,5,4,5,3,2,"I have carefully read and understand the instructions above.",TRUE,50,5.883,5.883,7.155,1,0,0,2.106,0,"I have carefully read and understand the instructions above.",19.692,19.692,21.101,1,FALSE,0,0,3.106,0,60,9.421,9.421,11.004,1,0,0,3.006,0,60,3.27,3.27,4.564,1,0,0,3.006,0,70,2.2,2.2,3.561,1,0,0,3.006,0,40,2.35,2.35,3.958,1,0,0,3.006,0,70,2.062,2.062,3.459,1,"4","1","1","1 in 1000","10%","20","50","20","200","80","2000","1 in 37 chance","9","12","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",50,6.874,12.6,14.281,5,3,3,3,3,4,5,5,3,3,4,"Female",35,1,1,1,2,574,60,60,70,40,70,1,60,5.3092,-10,10,12.2474487139159,-10,3,3,0,3.8,4,0.2
"603",605,"7/12/19 8:18","7/12/19 8:34",16,1,"If you can't be there in person, send a letter.",2,2,3,6,7,6,5,6,"I have carefully read and understand the instructions above.",FALSE,20,10.8,10.8,12.139,1,0,0,2.008,0,"I have carefully read and understand the instructions above.",31.646,31.646,32.666,1,FALSE,0,0,3.007,0,50,6.014,6.014,7.268,1,0,0,3.008,0,80,2.87,2.87,3.785,1,0,0,3.008,0,70,3.124,3.124,9.899,1,0,0,3.008,0,50,4.702,4.702,5.759,1,0,0,3.007,0,60,10.711,10.711,12.03,1,"500","10","0.1","1 in 10","10%","2","2","10","1","20","5","1 in 12 chance","90","64","They both tested positive for SARS, and the doctor is more likely to have the disease","Report the average percent of the stake that you recall transferring",60,12.812,14.442,15.698,2,6,1,2,2,6,7,6,5,6,7,"Male",36,1,1,1,2,670,50,80,70,50,60,13,62,7.7482,-2,2,13.0384048104053,-42,2.33333333333333,1.66666666666667,-0.666666666666667,6,6,0
"604",606,"7/12/19 8:25","7/12/19 8:34",9,1,"If you can't be there in person, send a letter.",5,4,5,5,6,6,6,5,"I have carefully read and understand the instructions above.",FALSE,0,4.095,4.095,8.591,1,0,0,2.123,0,"I have carefully read and understand the instructions above.",20.046,20.046,21.557,1,FALSE,0,0,3.121,0,90,3.972,3.972,4.824,1,0,0,3.01,0,60,2.36,2.36,2.97,1,0,0,3.008,0,80,1.593,1.593,2.218,1,0,0,3.131,0,90,2.96,2.96,3.562,1,0,0,3.005,0,50,1.809,1.809,2.489,1,"500","10","0.1","1 in 10","10%","2","2","10","100","20","0","1 in 12 chance","50","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",72,4.478,4.478,5.048,1,5,5,4,5,5,6,6,6,5,1,"Male",34,1,1,1,2,395,90,60,80,90,50,12,74,3.2126,-2,2,18.1659021245849,-74,4.66666666666667,4.66666666666667,0,5.6,5.6,0
"605",607,"7/12/19 8:19","7/12/19 8:34",15,1,"If you can't be there in person, send a letter.",1,1,1,7,7,7,7,6,"I have carefully read and understand the instructions above.",TRUE,50,4.4,4.4,5.528,1,0,0,2.008,0,"I have carefully read and understand the instructions above.",12.789,12.789,13.658,1,TRUE,0,0,3.006,0,80,3.147,3.147,4.717,1,0,0,3.007,0,80,3.388,3.388,4.537,1,0,0,3.107,0,70,1.9,1.9,3.087,1,0,0,3.108,0,70,101.834,101.834,102.99,1,0,0,3.008,0,60,1.844,1.844,2.832,1,"500","10","10","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","18","10","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",52,8.381,8.381,9.813,1,6,1,1,1,6,6,7,5,6,4,"Female",45,1,1,1,2,554,80,80,70,70,60,11,72,23.6326,-20,20,8.36660026534076,-22,1,1,0,6.8,6,-0.8
"611",613,"7/12/19 8:09","7/12/19 8:35",26,1,"If you can't be there in person, send a letter.",2,2,2,6,6,6,6,6,"I have carefully read and understand the instructions above.",FALSE,10,17.644,17.644,18.807,1,0,0,2.005,0,"I have carefully read and understand the instructions above.",12.498,17.076,19.543,5,FALSE,0,0,3.104,0,30,7.394,15.804,18.322,3,0,0,3.004,0,0,5.916,21.678,22.634,11,0,0,3.104,0,0,1.418,3.09,7.515,3,0,0,3.004,0,0,1.876,3.097,4.526,2,0,0,3.005,0,0,1.959,3.78,4.897,3,"500","10","0.10%","1 in 10","10%","2%","2","10","100","20%","5","1 in 12 chance","50%","64%","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",30,13.5,17.187,19.206,7,5,2,2,2,6,6,6,6,6,2,"Male",59,1,1,1,1,159,30,0,0,0,0,13,6,11.5788,24,24,13.4164078649987,4,2,2,0,6,6,0
"612",614,"7/12/19 8:26","7/12/19 8:35",9,1,"If you can’t be there in person, send a letter.",1,2,2,7,7,7,4,7,"I have carefully read and understand the instructions above.",FALSE,10,6.264,6.966,7.94,2,0,0,2.01,0,"I have carefully read and understand the instructions above.",22.556,22.556,24.815,1,FALSE,0,0,3.019,0,30,5.084,5.084,6.238,1,0,0,3.01,0,30,2.08,2.818,3.658,2,0,0,3.009,0,30,1.31,1.844,2.695,2,0,0,3.009,0,30,2.577,2.577,3.506,1,0,0,3.009,0,30,1.62,1.62,2.657,1,"500","1","1%","1 in 10","10%","2%","10","10","100","20","5","1 in 12 chance","10","14","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",30,0.863,4.452,5.056,3,7,1,2,2,7,7,7,4,7,7,"Female",30,1,1,1,2,217,30,30,30,30,30,10,30,3.7508,0,0,0,-20,1.66666666666667,1.66666666666667,0,6.4,6.4,0
"613",615,"7/12/19 8:26","7/12/19 8:35",9,1,"If you can't be there in person, send a letter.",5,5,5,6,6,5,3,5,"I have carefully read and understand the instructions above.",TRUE,50,6.765,6.765,7.489,1,0,0,2.122,0,"I have carefully read and understand the instructions above.",12.524,12.524,13.369,1,FALSE,0,0,3.007,0,50,4.721,4.721,6.785,1,0,0,3.02,0,50,5.666,5.666,6.304,1,0,0,3.007,0,50,12.332,12.332,13.123,1,0,0,3.008,0,50,0.937,0.937,1.724,1,0,0,3.02,0,50,2.493,2.493,3.183,1,"500","10","0.1","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","10","30","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",50,2.373,2.373,4.975,1,7,5,5,5,6,6,5,3,6,1,"Female",32,1,1,1,3,275,50,50,50,50,50,12,50,6.2238,0,0,0,0,5,5,0,5,5.2,0.2
"615",617,"7/12/19 8:27","7/12/19 8:35",8,1,"If you can't be there in person, send a letter. ",4,4,5,4,4,4,2,2,"I have carefully read and understand the instructions above.",FALSE,50,6.395,6.395,7.728,1,0,0,2.007,0,"I have carefully read and understand the instructions above.",13.183,13.183,14.157,1,FALSE,0,0,3.007,0,40,3.912,3.912,4.903,1,0,0,3.006,0,50,2.733,2.733,3.582,1,0,0,3.006,0,40,2.114,2.114,3.05,1,0,0,3.106,0,10,1.927,1.927,2.801,1,0,0,3.005,0,40,2.859,2.859,3.766,1,"500","1","1","1 in 10","10%","2","2","10","100","20","5","1 in 12 chance","10","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",40,2.292,5.057,6.304,2,7,4,4,3,3,4,4,2,2,7,"Female",29,1,1,1,1,562,40,50,40,10,40,11,36,3.6204,4,4,15.1657508881031,14,4.33333333333333,3.66666666666667,-0.666666666666667,3.2,3,-0.2
"616",618,"7/12/19 8:21","7/12/19 8:35",14,1,"If you can't be there in person, send a letter.",1,1,1,6,6,4,4,3,"I have carefully read and understand the instructions above.",FALSE,30,9.005,9.005,11.49,1,0,0,2.016,0,"I have carefully read and understand the instructions above.",29.961,29.961,31.393,1,FALSE,0,0,3.122,0,50,5.297,5.297,6.421,1,0,0,3.024,0,50,2.555,2.555,4.064,1,0,0,3.023,0,50,2.497,2.497,3.342,1,0,0,3.121,0,50,2.383,2.383,3.349,1,0,0,3.121,0,50,3.829,3.829,4.578,1,"500","10","0.01%","1 in 10","10%","2%","1 in 50","10","100","20","5","1 in 12 chance","50","64","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",50,3.37,5.56,7.324,2,7,1,1,1,6,6,4,4,5,1,"Female",26,1,1,1,1,95,50,50,50,50,50,12,50,4.3508,0,0,0,-20,1,1,0,4.6,5,0.4
"617",619,"7/12/19 8:17","7/12/19 8:35",18,1,"If you can't be there in person, send a letter.",2,2,2,5,7,5,5,4,"I have carefully read and understand the instructions above.",FALSE,30,9.653,10.319,11.731,2,0,0,2.007,0,"I have carefully read and understand the instructions above.",63.138,63.138,64.295,1,FALSE,0,0,3.108,0,50,3.937,3.937,7.015,1,0,0,3.107,0,30,2.671,3.577,6.134,2,0,0,3.006,0,40,3.268,3.268,4.592,1,0,0,3.008,0,50,3,3,5.106,1,0,0,3.006,0,40,2.673,2.673,3.93,1,"500","10","0.10%","1 in 10","10%","2%","1 in 50 (2%)","10","100","20%","5","1 in 12 chance","50%","64%","They both tested positive for SARS and the person in the at-risk population is more likely to have the disease.","Report the average percent of the stake that you recall transferring",30,0.972,3.531,4.836,2,3,4,3,3,5,5,4,3,2,1,"Male",24,1,1,1,2,112,50,30,40,50,40,12,42,5.3554,-12,12,8.36660026534076,-12,2,3.33333333333333,1.33333333333333,5.2,3.8,-1.4
"618",620,"7/12/19 8:22","7/12/19 8:35",13,1,"If you can't be there in person, send a letter.",4,4,6,3,4,3,2,1,"I have carefully read and understand the instructions above.",FALSE,30,13.434,13.434,15.445,1,0,0,2.111,0,"I have carefully read and understand the instructions above.",2.651,2.651,26.682,1,FALSE,0,0,3.023,0,50,3.755,4.975,8.043,2,0,0,3.009,0,50,3.281,3.281,4.817,1,0,0,3.111,0,50,2.526,2.526,4.389,1,0,0,3.019,0,50,3.518,4.486,5.959,2,0,0,3.025,0,50,2.812,2.812,4.194,1,"500","10?","1","1 in 10","10%","1 in 5 years","1 in 50 in ten years","10","100","20","????????? 1","1 in 12 chance","10","128","They both tested positive for SARS and therefore are equally likely to have the disease","Report the average percent of the stake that you recall transferring",50,2.111,5.854,7.885,4,7,4,4,5,4,4,4,4,4,2,"Female",24,1,1,1,2,654,50,50,50,50,50,9,50,5.4804,0,0,0,-20,4.66666666666667,4.33333333333333,-0.333333333333334,2.6,4,1.4
"619",621,"7/12/19 8:25","7/12/19 8:36",11,1,"If you can't be there in person, send a letter.",2,4,3,6,6,1,5,7,"I have carefully read and understand the instructions above.",FALSE,60,25.246,26.968,28.693,2,0,0,2.008,0,"I have carefully read and understand the instructions above.",10.611,25.04,28.589,4,FALSE,0,0,3.107,0,50,5.107,5.107,7.481,1,0,0,3.006,0,50,3.022,3.022,5.92,1,0,0,3.013,0,50,2.988,2.988,5.209,1,0,0,3.11,0,50,2.182,2.182,3.716,1,0,0,3.007,0,50,7.746,7.746,10.302,1,"500","10","0.001","1 in 10","1%","2","2","10","100","20","5","1 in 12 chance","20","20","They both tested positive for SARS, and the doctor is more likely to have the disease","Report the average percent of the stake that you recall keeping",62,2.748,2.748,5.004,1,6,5,3,5,6,4,7,7,3,6,"Male",42,1,1,1,3,139,50,50,50,50,50,11,50,6.5256,12,12,0,10,3,4.33333333333333,1.33333333333333,5,5.4,0.4
